[000:00] 那今天的分享了
[002:48] 整个长生命周期
[002:49] 它的趋势图呢
[002:50] 其实我们在这里可以看到
[002:51] 它在即使到了36个月之后
[002:54] 它依然是在这个销售峰值以上
[002:56] 所以说我们可以看到
[002:58] 第一销售期的话
[002:59] 一般是大于三年以上
[003:01] 并且在36个月之后呢
[003:03] 它依然处于峰值的50%以上
[003:05] 那这类型的产品的话
[003:07] 我们统一的话
[003:08] 都会把它放到长生命周期当中
[003:10] 那么这个长生命周期的话
[003:11] 它有一个特点呢
[003:13] 就是全年需求相对是比较稳定的
[003:15] 比较少的会存在一些
[003:17] 季节性的波动变化
[003:18] 那这个部分的产品的话
[003:20] 它受季节性的这样一个影响
[003:23] 也是相对比较弱的
[003:24] 所以整个来讲的话
[003:25] 长生命周期的话
[003:26] 是有这样一些特征
[003:27] 但是在这个特征下的话
[003:30] 我们也看到了
[003:31] 长生命周期的话
[003:32] 在美国占服饰品类的
[003:34] 长生命周期的话
[003:35] 它的产品包含了非常的多
[003:36] 包括像连衣裙啊
[003:38] 连衣紧身衣
[003:40] 体超服啊
[003:41] 然后像美国的这样一个
[003:43] 小西装
[003:44] 太阳镜
[003:44] 领带
[003:45] 配饰等等的
[003:46] 那这里的话
[003:47] 其实我就有个非常好奇的一个问题啊
[003:50] 这些产品
[003:51] 它都是属于美国服饰品类下
[003:53] 长生命周期的产品
[003:55] 但是这些产品看起来又非常的不同
[003:57] 那么这些产品
[003:59] 它到底它的广告和运营重点
[004:00] 都是一样的吗
[004:02] 好的那我来说一下
[004:03] 我自己的一个看法
[004:04] 其实呢
[004:05] 背家朋友应该也看到
[004:07] 就是虽然都处于长生命周期
[004:09] 但是这些产品的话呢
[004:11] 其实本质上面还会有些区别
[004:13] 因为从第一个
[004:14] 它的一个客单架这里呢
[004:16] 肯定是会有所差异的
[004:18] 因为客单架呢
[004:19] 背后也面对的
[004:20] 不同的一些收入顾客人群
[004:22] 就是第一点
[004:22] 因为不同的顾客人群呢
[004:24] 他在买
[004:24] 不同的一些产品的时候呢
[004:26] 有些可能它是为了去解决
[004:28] 自己的一些实际需求
[004:30] 来去角度出发来去购买
[004:32] 或者说有些产品的话呢
[004:33] 比如说像这种太阳眼镜
[004:35] 它可能会去为了满足
[004:37] 它的一个
[004:38] 即时需求
[004:39] 就是比如说
[004:40] 它可能会习惯
[004:41] 我比如说是习惯这种
[004:43] 福古款的
[004:44] 或者是这种时尚款的
[004:45] 那么他们可能会
[004:46] 追求这种产品的外观
[004:47] 更加多一些
[004:48] 但是我们比如说
[004:49] 像在这个案例里面
[004:51] 所看到的比如说
[004:51] 西服呀
[004:52] 这种类型的产品
[004:53] 其实乌客买这种产品的时候呢
[004:55] 大多数情况都是会去解决一些
[004:58] 比如说我要去参加一些会议
[005:00] 我可能会去买一个自己适配的
[005:02] 一个西服
[005:03] 所以不同的产品之间的话
[005:05] 广告的一个侧重点
[005:06] 包括广告的毛点
[005:08] 肯定也会有所区别
[005:09] 在这里的话
[005:10] 我们也把四个类型的产品呢
[005:13] 做一个就是这展示了
[005:14] 四个真实的案例
[005:15] 大家可以看一下
[005:16] 在左边的话
[005:17] 是西服和秤群打底群的
[005:20] 这样一个趋势图
[005:20] 右边的话是sunglasses和nektai
[005:24] 也就是太阳眼镜和领带
[005:25] 那么这四个趋势图
[005:27] 我们会发现啊
[005:29] 它其实长得非常的近似
[005:31] 那么在这个非常近似的趋势图当中的话
[005:34] 我们也发现了
[005:35] 它会存在一个共有的规律呢
[005:37] 就是大家可以看到
[005:38] 它第一个都是在第22个月
[005:41] 或在第18个月的时候
[005:43] 逐渐开始到达它的销售高峰的
[005:45] 并且在到达销售高峰之前的话
[005:48] 它整个销售是在稳定的爬坡的
[005:50] 当它达到销售高峰之后的话
[005:52] 整个是一个虽然有波动
[005:54] 但基本上是处于一个非常稳定的状态
[005:57] 并且的话在36个月之后呢
[005:59] 它依然还处于这个销售峰值的50%以上
[006:02] 所以这部分的产品的话
[006:03] 我们看到他们都是从趋势图上
[006:05] 我们看到它都是一样的
[006:07] 但是背后的消费者的需求
[006:09] 确实确确实实是不同的
[006:11] 那么作为服饰品类的卖家来讲
[006:13] 我们有这么多的产品
[006:15] 它都是属于长生命周期
[006:16] 我们该怎么去找它的这些
[006:19] 找一些共性来帮助卖家去进行适当的区分
[006:23] 或者是说对于有一些
[006:25] 可能我们今天只展示了四个真实案例
[006:27] 对吧
[006:28] 那么还有一些其他的
[006:29] 非常多的长生命周期的服饰品类的产品
[006:31] 我们今天是没有聊到的
[006:33] 那我们可以怎么样可以帮助卖家
[006:36] 去通过找共性的方式
[006:37] 来帮他们去了解到
[006:40] 那么我自己所运的产品呢
[006:42] 可能跟今天讲到的是比较类同的
[006:43] 那我可以去参考接下来的内容
[006:45] 那么是不是我们可以通过
[006:47] 消费者的购买行为和需求差异
[006:49] 来去把这样的一些产品去进行分类呢
[006:52] 对的
[006:53] 这个肯定是我们首先的话呢
[006:54] 再去给我们
[006:56] 比如说整个体验店里面的话
[006:57] 众多的一些细分款
[006:59] 我们做一个分类
[007:00] 其实从产品的一个
[007:02] 先从我们的受众角度考虑出发
[007:05] 比如说我们后续的话呢
[007:07] 因为体验店里面可能大家
[007:08] 卖家们会常布局一些
[007:10] 比如说各种一些细分款
[007:12] 那么细分款和细分款之间的话呢
[007:14] 我们第一个角度可以考虑
[007:15] 从收中顾客人群角度来去出发
[007:18] 包括呢顾客的一个年龄段
[007:20] 那么在做完这两种类型的一个划分之后
[007:24] 我们再回归到产品本身上
[007:26] 那么产品本身上面的话
[007:27] 我们其实可以首先呢
[007:28] 从第一个
[007:29] 也就是我们所看到的
[007:30] 波浓能基础款的一个角度去出发
[007:33] 那这种类型的产品的话呢
[007:35] 其实我们也能够看到啊
[007:36] 它是有以下几个大的特点的
[007:38] 那首先我们先要明确一个点
[007:40] 就是顾客呢
[007:41] 他去买这种产品的时候
[007:43] 像刚才呢
[007:44] 淳言老师给大家提到了
[007:45] 它是为了去解决顾客所遇到的一些问题的
[007:49] 而非追求于某些特殊的潮流
[007:51] 所以顾客的需求
[007:53] 它一般来说是比较稳定的
[007:55] 那么比较符合是这种日常穿搭
[007:59] 那么当然的话呢
[008:00] 款式基本上也比较恒定
[008:02] 你像我们有时候比如说穿的这种的西服
[008:04] 一般来说的话呢
[008:05] 大多数情况我们可能不坏追求这种比较标新的一些款式
[008:11] 可能在有些特定的场景下
[008:13] 会有一些偶然情况
[008:16] 你比如说这种明星呢
[008:17] 或者说歌手他们在去穿这种西服的时候
[008:19] 他们可能会用到这种比如说非常时尚的
[008:22] 但是大多数顾客买的时候呢
[008:23] 其实款式相对而言的话
[008:25] 比较恒定
[008:26] 不追求潮流
[008:27] 那么我们也能看到
[008:29] 那顾客购买这种产品的时候呢
[008:31] 基本上它是比较追求这种产品的一个长期价值的
[008:34] 并且呢也会反复确认过后才会去下单
[008:39] 这里面的话呢
[008:40] 因为有些顾客
[008:40] 他们在去购买这种产品的时候
[008:42] 比如说购买一套西服
[008:45] 他可能会去确认一下
[008:46] 我自己的话
[008:47] 比如说体型是偏重的偏胖的
[008:49] 那么到底这套西服的话
[008:51] 我所看到这个离子挺链接呢
[008:53] 它是否符合我的一个尺码
[008:55] 那如果有些顾客的话
[008:56] 总体比如说
[008:57] 他这块的一个个子偏高或者偏瘦
[009:00] 那么他会去反复先去确认一下
[009:03] 这个产品能否完美的适配于我自己
[009:06] 并且能够解决我的一个实际的一个使用场景
[009:10] 那么这种是功能基础型
[009:12] 它的一个典型特征
[009:13] 那么我们再来去看一下右侧
[009:15] 这块功能配置型的产品
[009:17] 功能配置型产品的话
[009:18] 其实顾客在去买这种产品的时候
[009:20] 他往往并不是单纯为了解决他的一个基础需求
[009:25] 还会有他自己的一个主观感受在里边
[009:29] 他会追求一下
[009:30] 比如说时尚
[009:32] 你像有些顾客的话
[009:33] 可能比如说在我们看到的案例里面
[009:35] 太阳眼镜
[009:35] 他喜欢比如说这种复古款的
[009:38] 那么他再去挑选太阳眼镜的时候
[009:40] 第一个主要的目的可能是为了去解决他
[009:44] 比如说在户外
[009:44] 引入营或说去大灘的派对的时候
[009:48] 能够遮阳
[009:49] 这是他第一个基础的需求
[009:51] 那么当时他解决基础需求
[009:53] 同时他也会在意一下自己的主观感受
[009:56] 那么他如果喜欢是复古的
[009:58] 比如说整个的话从他的一个消费的一个整个的一些链接里面来看的话
[010:04] 他可能之前的话买的一些家装呀
[010:06] 风格都是复古的
[010:08] 那么他可能在去购买眼镜的时候
[010:09] 他也可能会去
[010:10] 可能挑选一种负物款的来去进行购买
[010:13] 但如果他是比较这种时尚的
[010:15] 比如说偏向于年轻化的一些群体
[010:17] 那么他们在去购物的时候
[010:19] 可能会更加偏向于穿感的
[010:21] 比如说这种就是
[010:23] 有点像明星啊
[010:25] 类似这种同款的
[010:26] 这种时尚款的话
[010:26] 这种眼镜的来去做一个购买
[010:28] 那么同样的话
[010:29] 领带也是这个道理
[010:30] 就是顾客在去买领带的时候呢
[010:32] 第一个啊
[010:33] 他主要的一个
[010:34] 其实是为了去解决他
[010:37] 比如说正式场合
[010:38] 完了搭配上领带的话
[010:39] 显得更加正式鞋制第一点
[010:41] 那么第二点呢
[010:42] 他也会结合自己的一个
[010:44] 实际的一个主观感受
[010:46] 来去看一下
[010:47] 比如说这颗领带的品质
[010:49] 质感是用什么材质
[010:50] 第二个的话也会看一下
[010:52] 就是这个领带的话呢
[010:54] 是否符合我
[010:55] 比如说自己现阶段
[010:56] 我所追求这个整个这个穿搭风格
[010:58] 那么这是这两种类型产品里面
[011:01] 我们可以从他的一个功能和款式
[011:03] 还有呢
[011:04] 本身的产品属性上面
[011:05] 把它们去做一个归类
[011:07] 之后的话
[011:07] 也是建议大家呢
[011:08] 可以在围绕着刚才给大家提到的
[011:11] 从顾客的收入人群
[011:12] 还有他们的年龄段
[011:14] 来去把这个产品的话呢
[011:16] 做好归类
[011:17] 因为这两种类型的产品呢
[011:19] 里边又会涉及到不同的运营思路和打法
[011:22] 所以呢
[011:22] 我们先有归类好清楚产品类型之后
[011:25] 再围绕它
[011:26] 对应它适合它的一个广告打法
[011:28] 这样子我觉得才是对症下药
[011:30] 我觉得这个分享的话
[011:31] 对于我们来讲就是非常关键的点
[011:33] 就在于说
[011:34] 第一
[011:34] 我们很清楚的知道
[011:35] 虽然服饰品类下
[011:36] 长生命周期有这么多的产品
[011:38] 但是其实的话
[011:39] 我们可以把它们
[011:40] 以消费者的需求来去进行一个分类
[011:43] 那通过这个分类的话
[011:44] 即使我们今天没有讲到的产品
[011:47] 相信
[011:47] 作与这个分类相类似或类同的卖家呢
[011:51] 也能够在这节课当中呢
[011:53] 获得自己想要的一些答案
[011:54] 所以这个我觉得是第一个点啊
[011:56] 但第二个点
[011:57] 我也想问大鹏老师
[011:58] 我们找到了这些消费者的需求差异之后
[012:00] 那它对于卖家而言
[012:03] 尤其是在广告和运营上
[012:04] 它又意味着什么呢
[012:05] 我觉得不同类型里面的话
[012:07] 我们再往下去做一个细分的话
[012:09] 其实在广告里边
[012:10] 要先去建立一个关键性的锚点
[012:13] 比如说我们刚才呢
[012:14] 麦娇们所看到的
[012:15] 就是如果从功能这种基础型的
[012:19] 类型的产品的
[012:20] 服饰品的里面产品的话
[012:21] 我们广告里面关键性的话
[012:23] 要建立一个锚点
[012:25] 就是建立信任
[012:26] 因为这种类型产品的话
[012:27] 刚才我们也提到了
[012:28] 顾客再去购买这种产品的时候
[012:30] 他会经常问到这几个问题
[012:33] 第一个
[012:34] 到底我买这个西服呢
[012:35] 到底适不适合我的一个
[012:37] 比如说体型
[012:38] 并且呢这个西服的话呢
[012:40] 它质量整体好不好
[012:41] 还有呢到底这个价格啊
[012:43] 符不符合
[012:44] 它的一个品质
[012:46] 因为也看到了
[012:47] 就是在
[012:48] 其实呢我们
[012:49] 亚马逊后台的一个商机探测器里边
[012:51] 基于这个品类里面呢
[012:53] 也是有
[012:54] 统计出来啊
[012:55] 顾客的话呢
[012:56] 六个月的一个评价
[012:57] 那么从评价里面的话呢
[012:59] 我们能看到
[013:00] 顾客主要购买这种类型产品
[013:02] 它的焦虑点
[013:03] 第一个呢
[013:04] 就是尺码焦虑
[013:05] 他可能会去
[013:06] 犹豫
[013:07] 比如说
[013:07] 我看到了一张尺码表
[013:09] 但是到底这个尺码表的话
[013:11] 它是否
[013:12] 能否真的是配于我
[013:14] 因为我们都知道
[013:15] 服饰品的话呢
[013:16] 在这个亚马逊
[013:17] 品质上面来说的话
[013:19] 它普遍比
[013:20] 普通的一些产品的话
[013:21] 它会购义要高
[013:22] 其实主要的原因
[013:23] 也就是顾客买回去之后
[013:24] 它可能尺码的话
[013:25] 确实有些不适配
[013:26] 所以这是顾客
[013:27] 他们购买钱
[013:28] 最大的一个焦虑之一
[013:30] 那么再往下来就看呢
[013:31] 第二个就是顾客
[013:33] 比较关心这种产品的
[013:34] 一个真实的一个材质
[013:35] 因为有时候的话呢
[013:37] 确实不同的一些产品
[013:38] 一些面料
[013:39] 因为它背后的
[013:40] 收入顾客群体
[013:41] 是不一样的
[013:42] 有些顾客的话
[013:43] 他可能是
[013:44] 比如说上班的伙伴
[013:46] 上班族
[013:46] 他可能会去追求的面料
[013:48] 不是过于苛刻
[013:49] 但是像一些
[013:50] 拥有这种高效会能力的顾客的话
[013:53] 他们对于这种
[013:53] 吸引服的一个材质
[013:54] 和面料的话
[013:55] 他们就会比较看重
[013:56] 所以不同的背后
[013:58] 收入顾客里面的话呢
[013:59] 我们也会发现
[014:01] 他们对于这个质量
[014:02] 到底跟我们卖家链接里面
[014:04] 所描述的这个质量的话
[014:06] 具体相昌吻合
[014:08] 这也是顾客
[014:09] 他们所
[014:09] 就是在购买钱的话呢
[014:12] 一个疑虑点
[014:13] 第三个呢
[014:13] 就是
[014:14] 无超所值
[014:15] 那么无超所值的话
[014:16] 也能看到
[014:16] 顾客的话
[014:17] 他们也是比较在意
[014:18] 这种产品的性价比
[014:19] 那么这里面的话
[014:20] 需要给大家提一个点
[014:21] 性价比的话
[014:23] 它跟产品的实际的
[014:24] 一个售价的话
[014:26] 是两个概念
[014:27] 我们千万不要把这两个点的话
[014:29] 弄混淆
[014:29] 我们也有些卖家
[014:31] 可能会这样的认为
[014:32] 就是我的一个产品的话呢
[014:34] 一定卖的低价
[014:35] 就一定会有
[014:37] 非常高的份额
[014:38] 当然这个的话
[014:39] 不是一定的
[014:40] 因为对应的
[014:41] 不同的一个产品
[014:43] 刚才也说到过
[014:44] 它的一个材质啊
[014:46] 这里面的话
[014:46] 都会有它背后的收入人群
[014:48] 那么如果我们能够
[014:50] 在我们这个价格段内
[014:52] 注意说的是价格段内啊
[014:54] 找到一个
[014:55] 比如说
[014:56] 适合我们现在自己的
[014:57] 自己的定价
[014:58] 让顾客呢
[014:59] 感觉到这种产品
[015:00] 是有比较不错的性价比的
[015:02] 那自然而然
[015:03] 我们后续的话
[015:03] 链接在去做推广的时候呢
[015:05] 销量
[015:06] 包括呢
[015:07] 订单量提升也会比较高
[015:09] 因为这里面的话
[015:09] 性价比
[015:10] 只是说
[015:10] 我在一个定价区间里面
[015:13] 我的产品
[015:14] 对比同类型的产品
[015:16] 或者对比同面料
[015:17] 这种类型的产品呢
[015:18] 我的更加有优势
[015:20] 这是顾客呢
[015:21] 他们所会重点考虑的第三点
[015:24] 那么我们在
[015:25] 去做这种产品的时候呢
[015:27] 可能说到过
[015:27] 广告里面
[015:28] 我们需要去建立信任
[015:30] 那么这个信任的话
[015:31] 由何建立呢
[015:32] 因为我们毕竟的话
[015:33] 做的还是这种
[015:34] 线上的一个生意
[015:35] 顾客的话
[015:36] 他并不能够像这种
[015:37] 线下十几遍一样
[015:38] 而真实的
[015:39] 比如说试穿原
[015:40] 或者说
[015:41] 接触到我们的面料
[015:42] 所以
[015:42] 第一个的话呢
[015:43] 我们就得尽可能
[015:45] 在顾客购买钱
[015:46] 用更多我们
[015:47] 通过比如说
[015:48] 亚马逊后台呢
[015:50] 给我们提供出来的
[015:51] 这种一些
[015:52] 侧向功能
[015:53] 比如说
[015:53] 高级A家里边的这种视频
[015:55] 还有呢
[015:56] 详细的一个持把表
[015:58] 这种的话
[015:59] 帮助顾客打消
[016:00] 对于产品前期的一个
[016:02] 一律
[016:03] 建立信任感
[016:04] 同时的话呢
[016:04] 我们也可以在视觉上面
[016:06] 做视觉升级和改进
[016:07] 你比如说
[016:07] 举个例子
[016:08] 我假如说
[016:09] 卖的这个西服
[016:11] 偏重的
[016:11] 偏胖的一些顾客的人群的话
[016:13] 也能够去进行一个
[016:14] 比如说穿搭完美的适配
[016:16] 那所以我在视觉里面的话
[016:18] 体现出这种模特的话
[016:19] 我可能会用到一些
[016:20] 比如说
[016:20] 这种体型
[016:21] 偏胖的模特
[016:22] 就是跟顾客实际的画像的话呢
[016:25] 最好越接近
[016:26] 这样的
[016:26] 越容易建立信任感
[016:28] 同时呢
[016:28] 顾客他在购买后
[016:29] 我们就得考虑一下
[016:31] 到底我们的一个产品品质
[016:33] 最终呢
[016:34] 顾客他会不会考虑
[016:35] 真实的留下来
[016:37] 留存起来
[016:38] 并且使用它
[016:38] 因为我们在跟顾客呢
[016:41] 其实建立购买之前的话
[016:43] 他们都是属于一个
[016:44] 亚马逊平台上面的一个
[016:46] 算是访客
[016:47] 访客
[016:48] 但是呢
[016:49] 如果他们买了我们的产品
[016:51] 并且留下来
[016:52] 这才是我们真正的一个用户
[016:54] 当真正的用户留下来之后
[016:55] 他们就会给我们的产品呢
[016:57] 打上这种review
[016:58] 也就是留下这个评价
[017:00] 那么后续的一些新顾客呢
[017:02] 如果能够看到
[017:03] 比如说
[017:03] 之前呢
[017:04] 这位顾客呢
[017:05] 他假如说又有了这种的一些图片呀
[017:07] 包括这个视频的这种的评论
[017:09] 那么其实更加能够建立信任感
[017:11] 因为新顾客的话
[017:13] 看到之前呢
[017:14] 有的一些顾客的话
[017:15] 跟他的体型比较接近
[017:17] 那么并且也有这种图片展示出来
[017:20] 那么其实这个信任感的话呢
[017:22] 将会建立的更加完善
[017:24] 这是我的一个看法
[017:25] 关于长生命周期的产品
[017:27] 服饰品类的
[017:28] 他这个品类的话
[017:29] 如果你是做服饰品的长生命周期
[017:31] 你就得需要有一个
[017:32] 可以去高制控且稳定的供应链
[017:35] 因为我们做的是一个长跑生意
[017:37] 长跑
[017:37] 我们是长跑运动员
[017:39] 我们做的是一个长期的生意
[017:40] 所以持续稳定的品质表现的话
[017:42] 确实是可以帮助我们
[017:43] 在这个整个长生命周期当中呢
[017:45] 可以持续累积review
[017:47] 跟这个整体消费者的一个信任资产
[017:50] 那这个信任资产的话
[017:51] 也是可以帮我们去做更好的一些
[017:53] 新客转化
[017:54] 以及在一个长久的生意上的话
[017:56] 可以在未来给我们带来更多的
[017:58] 不管是自然订单也好
[017:59] 还是更多的这样一个增长空间
[018:02] 那我相信可能在这个过程当中的话
[018:04] 是一个非常重要的点
[018:05] 那我们已经了解了
[018:06] 已知功能基础型
[018:08] 它的一个广告运的关键锚点
[018:10] 是建立信任
[018:11] 那我想问一下大宏老师
[018:12] 刚刚刚我们又聊到
[018:13] 在长生命周期的服饰产品下面的话
[018:16] 还有还有一个分之叫做功能配饰型
[018:18] 那功能配饰型的广告运营锚点又是什么呢
[018:21] 功能配饰型的话
[018:22] 其实我们可以去思考一下
[018:24] 从产品本身的一个特点来看的话
[018:27] 刚才有说过
[018:28] 一个是功能配饰型的话
[018:30] 顾客他比较在意自己的一个主观感受
[018:33] 也就是他会考虑到
[018:34] 比如我去购买这种产品的话
[018:36] 它是否是属于我自己喜欢的风格
[018:39] 也就比如说
[018:39] 举到刚才咱们说到的那个
[018:41] 太阳眼镜
[018:43] 太阳眼镜的话呢
[018:44] 它接触这个功能的话是满足顾客的一个遮阳的需求
[018:49] 但是呢
[018:50] 实际的话
[018:50] 顾客最终呢
[018:51] 能够让他实现一个最终转化的话
[018:54] 更加在意的点
[018:55] 还是这种产品的款式
[018:57] 是不是顾客他所真是喜爱的
[019:00] 所以在这个里面的话呢
[019:01] 转化的一个锚点的话
[019:03] 我们就是需要考虑到这个及时性的一个问题了
[019:06] 消费者差异到底该从哪些维度去拆解
[019:09] 那从我们的课程当中的话
[019:11] 其实我们给到了大家一个建议啊
[019:13] 就是大家可以看一下左侧的这个图和右侧的这样一个分析的话
[019:16] 其实是就是来自于亚马逊卖家后台
[019:19] 这个商机探测器当中的洞察与趋势当中可以得到的一些买家的评价
[019:24] 那这个评价的话
[019:25] 其实我们也是把这些所有买家评价呢
[019:27] 巴拉出来了之后
[019:28] 通过我们现在大家都会用AI工具
[019:30] 其实AI可以很好的帮大家去总结出来
[019:33] 你所在的细分类目
[019:34] 到底消费者的需求是什么
[019:36] 那我相信从这个角度去分析消费者的需求
[019:39] 可能是我们最接近当地市场最真实情况的一个办法
[019:44] 那么在下一个部分当中的话
[019:45] 我们重点呢
[019:46] 就是要展开去讲解
[019:48] 到底A-SEN生命周期
[019:49] 跟着A-SEN生命周期
[019:51] 他给我们的指引
[019:52] 可以怎么帮助我们把A-SEN做成一个长期稳定的现金流
[019:56] 那在进入到这个部分的话
[019:58] 我们主要的话会分为两个方向
[019:59] 还是回顾一下
[020:00] 第一个功能基础型功能配置型
[020:02] 刚刚讲到的锚点不同
[020:04] 我们的广告投放也有不同
[020:06] 那我们就接下来看一下具体他们的不同之处在哪里
[020:10] 首先我们先来看一下左边的功能基础型
[020:12] 那么在功能基础型当中的话
[020:14] 刚才大鹏老师有讲到
[020:15] 美国的消费者的话
[020:17] 他更多的是去解决自己本身的问题
[020:19] 他不是说去追求潮流
[020:21] 所以他整个核心的三个问题是
[020:23] 第一合不合身
[020:24] 第二质量好不好
[020:25] 第三值不值这个价格
[020:27] 那么在整个消费决策路径当中
[020:30] 广告可以在哪些维度来帮助到卖家朋友们呢
[020:33] 第一个在初期能够通过传递专业性来吸引消费者
[020:39] 点击我们的广告进入到商品详情页
[020:41] 那第二个在商品详情页当中的话
[020:43] 通过listing刚刚要讲到
[020:45] 用足够多的信息来去消除消费者的顾虑
[020:48] 从而去促进转化
[020:49] 当然第三个刚刚又聊到
[020:51] 我们可以通过稳定的高质量
[020:54] 高质量的这样一个供应链
[020:56] 来去持续稳定输出我们的产品
[020:58] 从而能够带来更多的用户的复购
[021:01] 以及更多新客的拓展
[021:03] 所以说在这个过程当中
[021:04] 我们可以看到功能基础型的广告的话
[021:07] 我们刚刚有聊到
[021:08] 它都是需要围绕着信任展开
[021:10] 但是这个建立信任的这个方向
[021:12] 怎么变成具体的实操技巧
[021:14] 我们来听听大鹏老师的分享
[021:16] 其实我们从建立信任展开的话
[021:19] 其实可以细分到两个维度
[021:21] 因为刚才我们也有看到
[021:23] 就是因为同样是属于这种功能基础款的一些产品
[021:27] 但是这里面的话
[021:28] 我们从客单架来去做一个区分
[021:30] 那么高客单架的话
[021:32] 基本上顾客他在去购买的时候
[021:34] 他的一个决策周期
[021:37] 就购买决策周期
[021:38] 他会比较长
[021:39] 因为他需要去反复的去多次去做一个确认
[021:42] 所以我们刚才也提到了
[021:44] 我们一个是通过我们的视觉
[021:46] 包括我们一些链接里面的一些描述
[021:49] 场景来去跟顾客去建立信任
[021:52] 那同时的话
[021:53] 我们也是需要进入广告来去反复多次去触打顾客
[021:57] 才能够让他们去多看到我们的链接
[022:01] 因为在我们的链接里面的话
[022:03] 他们如果多次看到我们的产品
[022:05] 可能第一次看到这个产品之后
[022:07] 他会有些印象
[022:08] 他第二次看到的时候
[022:09] 可能会思考一下
[022:10] 刚才我们明明看到了这个链接
[022:13] 好像有点印象
[022:14] 之后的话吸引他点击进来
[022:15] 那么他带他进来之后
[022:17] 他可能会在产品墙期里面去做浏览
[022:20] 但是因为高客单架的话
[022:22] 顾客的购买决策周期比较长
[022:25] 所以他在这个决策周期
[022:28] 由于到底要不要去购买的时候
[022:30] 他可能会去被
[022:31] 比如说中途的某些
[022:33] 这种比如说接了电话呀
[022:36] 等等这些的话给打断
[022:37] 那么我们就需要广告的话
[022:39] 来反复多次向顾客去做一个出达
[022:41] 增加顾客对于我们产品的信任被说
[022:44] 那么第二个呢
[022:45] 就是如果是低客单架的产品
[022:47] 顾客他的购买决策周期比较短
[022:50] 那这种的话呢
[022:51] 比如说以刚才我们所看到的
[022:53] 这种安全库为例
[022:55] 这种类型的产品的话呢
[022:56] 其实顾客他的一个思考
[022:59] 角色周期的话
[022:59] 会比这种西服套装的话
[023:01] 他的角色周期要短
[023:02] 所以我们是需要尽可能
[023:05] 短时间的话
[023:06] 来去快速让顾客呢
[023:08] 实现一个冲动性的一个消费
[023:10] 那所以我们的话
[023:11] 等一下呢
