[000:00] 然后我们现在目前我看大家都已经陆陆续续上线了
[007:44] 那结合着这样一个大的生命周期的概念
[007:48] 我们来看看服饰品类
[007:50] 尤其是积极性的产品
[007:52] 它到底是一个什么样的具体的生命周期的类型
[007:56] 那这里的话
[007:57] 大家可以看一下
[007:58] 我们在前面两节课的话
[007:59] 给大家去展示了长生命周期
[008:01] 短生命周期
[008:02] 它们两个类型的产品
[008:03] 我们可以看到
[008:04] 就是长生命周期的话
[008:05] 它是属于一个
[008:06] 基本上上限之后
[008:08] 它的销售是逐步增长
[008:09] 并且在很长一段时间
[008:10] 都能够去一个稳定的状态
[008:12] 那么这部分的产品的话
[008:14] 我们叫做长生命周期
[008:15] 那么第二个类型的叫做短生命周期
[008:17] 这类型的产品的话
[008:18] 它的一个特别大的一个代表性的点
[008:21] 就在于说它的销量是急速上升
[008:24] 同时急速下降的
[008:25] 那这类型的产品的话
[008:26] 它主要背后的原因是
[008:27] 由于它的产品的款式迭代
[008:29] 更新是比较快的
[008:30] 所以说的话
[008:31] 它往往产品的销售期
[008:33] 是小于三年的
[008:34] 那么第三类产品
[008:35] 也就是今天
[008:36] 我们要跟大家重点展开的
[008:38] 叫做季节性的产品
[008:40] 那季节性的产品的话
[008:41] 大家可以看一下这里
[008:42] 第三张图
[008:43] 那这第三张图的话
[008:45] 其实我们能明显看到
[008:46] 季节性的产品的话
[008:47] 它是随着这个季节
[008:49] 或者是一些特定节日
[008:50] 它会呈现这种周期性的波动
[008:52] 那它的销售的高峰和低谷
[008:54] 是非常清晰
[008:55] 并且它的每一个销售高峰和低谷
[008:57] 是可以预测的
[008:58] 而且它的旺季的窗口期
[009:00] 其实就主要集中在
[009:02] 两到四个月内
[009:04] 那这类型的产品的话
[009:05] 我们一般来讲
[009:06] 如果说是我们看到
[009:07] 它的生命周期趋势图
[009:08] 是长这个样子的话
[009:09] 我们会认为
[009:10] 它是属于季节性的产品
[009:12] 那么这类型的产品的话
[009:13] 对于卖家而言的话
[009:14] 我们要做的是什么呢
[009:16] 这个其实就是我们今天
[009:17] 想跟大家去重点主意去展开的
[009:20] 那对于这类型的产品
[009:21] 它跟前面两个是完全不同的
[009:22] 我们到底应该怎么去做好
[009:25] 这类型产品的运营
[009:26] 好
[009:27] 那还是回到这类型的产品上
[009:29] 那么对于季节性的产品而言
[009:31] 我们去把美国站服饰品类下的
[009:34] 这些所有的不同的品类呢
[009:36] 去看了一下它的一个趋势图
[009:38] 那么在这个趋势图下面的话
[009:39] 我们就发现了
[009:40] 在服饰品类下
[009:42] 季节性的产品
[009:43] 它的范围是非常广泛的
[009:45] 那比如说像大家所熟知的
[009:47] 像泳装
[009:48] 连衣裙
[009:49] 外套
[009:50] 到像手套毛衣靴子等等这样的一些之类的
[009:53] 那几乎每个季节的话
[009:55] 它的都有对应的服饰品类
[009:57] 在等待着它的旺季窗口
[009:59] 但是在这么多的产品当中
[010:01] 我们今天就想特别选取一个极具代表性的品类
[010:04] 以女群
[010:06] 也就是Dress为代表
[010:09] 那我们去拿这个Dress来去跟大家去聊聊
[010:12] 因为在这里的话
[010:13] 我想先听一听
[010:14] 就是想听听大家的一些思考
[010:16] 我们一起来想想
[010:17] 在Dress这个品类
[010:18] 我们都知道
[010:19] 它是在美国
[010:20] 这样服饰品类当中
[010:21] 体量最大
[010:22] 竞争最激烈的产品
[010:24] 那同时的话
[010:25] 它也是非常典型的
[010:26] 季节性
[010:27] 产品的一个代表之一
[010:29] 那么这类型的产品
[010:31] 大家都知道
[010:31] 它是第一个
[010:33] 这个季节驱动
[010:34] 很明显
[010:35] 对吧
[010:35] 同时的话
[010:36] 它也受这种流行趋势的变化
[010:38] 所影响
[010:38] 那么所以说的话
[010:40] 我们就拿
[010:40] 不妨拿这个产品来启动
[010:42] 今天的这样一个课程的
[010:44] 第一个部分的环节
[010:45] 我就想请大家呢
[010:46] 如果说大家现在
[010:47] 我们的直播间前
[010:49] 大家可以先思考下
[010:50] 这样一个情况和案例
[010:52] 那假如说
[010:53] 今天你接手了一款
[010:56] 女士简约的联衣群
[010:58] 款式呢
[010:59] 它也不极端
[011:00] 也不夸张
[011:01] 也就是说
[011:01] 它其实看起来
[011:02] 是比较通用款的服饰
[011:03] 这种产品
[011:05] 假如说是由你来接手
[011:07] 那么你会去怎么打广告
[011:09] 那在这里的话
[011:10] 我想请大家的话
[011:11] 也把你们的这个打广告的
[011:13] 就如果说
[011:14] 您是这样的卖家
[011:15] 你收到了这样一个任务
[011:16] 那对于你来讲
[011:17] 你会觉得
[011:18] 这类型的产品
[011:19] 广告应该怎么打
[011:20] 大家可以把你们的答案
[011:21] 打在聊天框
[011:22] 我们也可以一起来看看
[011:23] 好
[011:26] 那所以说的话
[011:27] 那我们就先带着这个问题
[011:29] 来去看看
[011:30] 二淼老师的一个分享
[011:31] 看看说
[011:32] 在这些实战的经验当中
[011:35] 我们是否
[011:36] 能够去找到一些答案
[011:38] 那我们就一起来听听
[011:39] 二淼老师
[011:40] 当时他在接手这个案例的时候
[011:42] 他是怎么做的
[011:43] 好的
[011:46] 好的
[011:52] 好的
[011:53] 徐添老师
[011:53] 那我就先开始一下
[011:59] 讲一讲
[012:00] 我接手这种
[012:00] 这种产品的时候
[012:02] 当时遇到了什么问题
[012:03] 我把它当成一个
[012:05] 踩坑的案例
[012:06] 就是跟大家分享一下
[012:08] 我这个踩坑故事
[012:09] 就是大家在投放广告的时候
[012:11] 投放亚马逊广告的时候
[012:13] 相信应该会遇到
[012:15] 各种各样的问题
[012:16] 那也可以想一下
[012:17] 就是对自己影响
[012:19] 最大的一个问题是
[012:20] 是什么
[012:21] 那对于我来说呢
[012:22] 这一个经历
[012:23] 之所以让我印象深刻
[012:25] 主要是因为
[012:26] 它改变了我的认知
[012:27] 让我第一次意识到
[012:29] 原来不同类目的
[012:32] 产品的广告打法
[012:33] 它是不能按照
[012:34] 一个模板走的
[012:35] 就是当时
[012:36] 还认知不够的时候
[012:38] 你就是很难意识到
[012:40] 就只有踩坑之后
[012:42] 才印象比较深刻
[012:43] 虽然说这句话
[012:45] 对现在
[012:46] 我们已经学了很多
[012:48] 就是网上也有很多大佬
[012:49] 分享自己的经验
[012:50] 就好像已经是常识了
[012:52] 可是在以前的那
[012:54] 某些阶段
[012:55] 是自己难以意识到的
[012:56] 那我就来具体讲一下
[012:58] 当时是怎么回事
[012:59] 我当时接手的呢
[013:01] 就是这种女士的
[013:02] 一款联姻群
[013:03] 它非常的简约
[013:04] 就是我
[013:06] 它没有特别夸张的设计
[013:08] 也不是很小众
[013:09] 相反呢
[013:10] 它就
[013:10] 就是非常非常的简单
[013:12] 就感觉
[013:13] 不会过时
[013:14] 就是几年都不会
[013:16] 都可以穿
[013:18] 也很百搭
[013:19] 那也正是因为这样
[013:21] 所以当时我就
[013:22] 在心里默认了一件事情
[013:23] 它虽然是服装品类的
[013:25] 但是打法呢
[013:26] 应该是跟很多通用产品
[013:28] 也差不多
[013:29] 现在回头来看
[013:31] 这一步就已经想偏了
[013:33] 因为服饰的产品
[013:35] 它本身就不是靠客观参数呀
[013:38] 它那种很客观的
[013:40] 一种理性的想法去成交的产品
[013:43] 就是我们卖家以为它通用
[013:45] 但是买家会比这么理解
[013:47] 就是说实话
[013:49] 其实在第一次接触
[013:50] 服装品类之前
[013:51] 我已经就是已经
[013:53] 接累过很多的广告经验
[013:55] 然后以前我们在运营中呢
[013:57] 会习惯把产品分成
[013:59] 标品半标品
[014:01] 还有非标品
[014:02] 就是这种分法
[014:04] 那这种分法呢
[014:05] 当然也有价值
[014:06] 而对于这款连运器来说
[014:08] 我就是把以前很多的那种产品
[014:11] 跑起来的那种方法
[014:12] 直接套了上去
[014:13] 那时候
[014:14] 那时候我的思路就是
[014:16] 既然是新品
[014:17] 那就尽量的先把流量入口
[014:19] 全给它铺开
[014:21] 连接流量
[014:22] 然后再做筛选
[014:23] 然后我的动作
[014:24] 就是开SP的自动手动
[014:28] 开SB广告
[014:29] SBV
[014:30] 甚至连SB这样的入口
[014:32] 我开始的时候
[014:33] 也倾向于先进党的铺进去
[014:35] 因为它都有不同的位置嘛
[014:37] 所以就是能开的入口
[014:40] 尽量都给它开起来
[014:41] 当然这中间
[014:42] SP的预算是占大头的
[014:45] 那这种做法呢
[014:46] 也不是我一个人
[014:47] 拍脑袋想出来的
[014:48] 当时也是我和领导的沟通结果
[014:51] 反正新品就是边试边调
[014:53] 先把入口给铺出来
[014:55] 再慢慢优化
[014:56] 主要是当时的这套逻辑
[014:58] 我们曾经在很多通用的产品上
[015:01] 它非常的有效
[015:02] 也是我们团队大量预算
[015:05] 得出来的一些实战结果
[015:07] 然而呢
[015:08] 这是后来才明白
[015:09] 当时我对这个产品的理解
[015:12] 实在是太单一了
[015:13] 因为惯性问题
[015:15] 就没有先把这个产品
[015:16] 给仔细的想清楚
[015:18] 而就先把这个广告动作
[015:20] 做满做多
[015:21] 就没有想到服装连衣裙
[015:24] 这类产品
[015:25] 它特别怕这种情况
[015:26] 就是它的主身份还没有收住
[015:29] 就先把这种入口全铺满
[015:31] 就很容易乱
[015:31] 那结果呢
[015:33] 就是我们铺满的这个结果
[015:35] 就是当时我的
[015:36] 因为认知问题出现的情况呢
[015:39] 也会让我非常的困惑
[015:40] 进价和预算是一路高升的
[015:43] 花费上来了
[015:44] 首页也拿到了
[015:45] 但是销量为什么
[015:47] 就是很难上去
[015:49] 甚至还在下降
[015:50] 甚至那种
[015:50] 还有断崖式下降的表现
[015:52] 就正常情况下
[015:54] 销量不应该是跟着预算
[015:56] 往上提升的吗
[015:58] 而且我们把那个
[015:59] 当时出单比较
[016:00] 出单的词给它单拉出来
[016:02] 重新投放
[016:04] 效果也不好
[016:05] 就是这种常见的思路
[016:07] 就在联育群这里失效了
[016:09] 当时对我的冲击和打击
[016:12] 也是非常大的
[016:13] 就是我也会下意识的去怀疑自己
[016:15] 是不是能力不够
[016:17] 是不是词找的不够多
[016:18] 广告操作不够的
[016:20] 不够平凡
[016:21] 然后为什么以前能用的方法
[016:23] 现在就突然不行了呢
[016:25] 我当时就没有意识到
[016:27] 这类产品
[016:29] 它的广告核心任务
[016:31] 就应该是在旺季前
[016:32] 完成合适的关键词布局
[016:34] 还有素材的
[016:35] 优质素材的准备
[016:37] 要用那种非常高质量的
[016:39] 视觉素材去
[016:41] 能够真实的还原
[016:42] 这种衣服上升的效果
[016:44] 要对消费者先说
[016:46] 这条裙子就是非常适合他的
[016:48] 然后当时的问题呢
[016:51] 主要问题也不是说不懂广告
[016:53] 就是我们有先意识到这种
[016:54] 所以说一提进价
[016:56] 加预算
[016:57] 系统呢
[016:58] 确实把这条链接推到了更多的位置
[017:01] 扩大了这个流量范围
[017:02] 但是问题是
[017:04] 新拿到的这个位置呢
[017:06] 触达的人群
[017:07] 它不一定就适合这个款式
[017:10] 而服装品类这种
[017:12] 和很多那种强功能性的标品不一样
[017:15] 很多人即使他不会买
[017:17] 也会因为图片呢
[017:18] 或者模特
[017:19] 还有自己喜欢的颜色
[017:20] 先点进来逛一逛
[017:21] 所以说表面上看点击多了
[017:24] 流量也放大了
[017:25] 但实际上
[017:26] 真正是和这条裙子的人群占比
[017:29] 就被冲淡了
[017:30] 所以说预算划出去了
[017:32] 就是没效果
[017:33] 因此后来那批货
[017:36] 自然是在第一个季节的时候
[017:37] 没有接住
[017:38] 这个季节过去
[017:40] 库存才慢慢的清表
[017:41] 就是这个结果
[017:43] 好像来看
[017:44] 就是这一款没有做成
[017:47] 但是呢
[017:47] 它也逼着我们团队去认真的思考
[017:50] 到底是产品本身没有机会
[017:52] 还是说我们走错路了
[017:54] 然后我们后来没有直接放弃掉
[017:57] 这条产品线
[017:59] 一方面呢
[017:59] 是因为老板愿意继续支持
[018:01] 另一方面呢
[018:02] 也是因为我们复盘下来
[018:04] 发现说
[018:05] 这款它不是没有市场
[018:08] 就是因为我们没有把它的主风格
[018:10] 主人群
[018:11] 还有主场景给讲清楚
[018:12] 就急着用广告去放大
[018:14] 现在回头看
[018:16] 就是判断的顺序错了
[018:18] 是认知问题
[018:19] 好
[018:20] 那在下一趴的时候
[018:22] 我们就来讲一讲第二年的调整思路
[018:25] 所以说到这里
[018:26] 我想讲的就是
[018:27] 通过这个联谊群的踩坑案例呢
[018:30] 就是把我后面对服饰广告的这种理解都改掉了
[018:34] 接下来也想请
[018:36] 承权老师结合亚马逊广告的一些洞察和发现
[018:41] 来跟大家详细说一说
[018:43] 我这个踩坑背后的根本原因是什么
[018:45] 以及该怎么抓住不同类型的广告重点
[018:48] 好的
[018:50] 非常感谢阿玛老师刚才的这样一个非常真实的案例的分享
[018:54] 那通过这个真实的案例分享的话
[018:56] 其实在背后也有在去思考说
[018:58] 那为什么对于美国的服饰品类
[019:00] 大家都觉得女群对吧
[019:02] 它是属于一个明显的这种
[019:04] 虽然它是属于非标题
[019:05] 但是刚刚有讲到说
[019:06] 它其实相对比较通用的
[019:07] 为什么我们用一些过往的方式会失效呢
[019:10] 那其实背后的话
[019:11] 我们去进一步的去挖掘了这种
[019:13] 会发现说
[019:13] 这个部分其实还有一个很大的原因
[019:16] 是我们并没有去真正的去看
[019:18] 对于产品本身
[019:19] 它的差异背后
[019:20] 那么是其实是来自于消费者购买行为和需求的差异
[019:24] 所以在这里的话
[019:25] 我们就把整个服饰品类的产品的
[019:28] 这些所有的这些不同产品
[019:29] 我们去看一下
[019:30] 它背后的这些所有的趋势图
[019:32] 它整个从上限之后
[019:34] 再到它
[019:35] 就是直到它的这个衰退期结束了之后
[019:37] 那整个趋势图当中
[019:38] 我们会发现
[019:40] 即使同样是属于季节类的产品
[019:42] 它都有这样一个明显的高峰和低谷
[019:45] 但是的话
[019:45] 我们发现整个趋势图会分为两个类型
[019:48] 非常典型的两个类型
[019:50] 那第一个典型的类型是左边的
[019:52] 大家可以看一下这类型的趋势图
[019:54] 那这类型的趋势图的话
[019:55] 我们以女群和Swimwear
[019:57] 就是泳装这两个产品呢
[020:00] 去作为代表
[020:00] 我们会发现啊
[020:02] 在这类型的产品
[020:03] 它的一个生命周期趋势图的很大的特点呢
[020:06] 是在于说
[020:07] 它通常是有前面两次的销售高峰表现
[020:11] 那么在两次之后
[020:13] 整个趋势更迭后
[020:15] 由于它的
[020:16] 不管是款式也好
[020:18] 或者是风格也好
[020:20] 这种是属于一个快速变更的
[020:22] 所以说我们可以看到
[020:23] 在这两次之后
[020:24] 它基本上就处于一个快速衰退的一个阶段
[020:27] 那么这个背后的原因的话
[020:29] 其实主要分析
[020:30] 还是由于这类型的产品
[020:33] 它受季节趋势和流行趋势
[020:35] 双重驱动
[020:37] 所以带来的结果呢
[020:39] 就是第一个
[020:40] 它既有明确的穿衣和销售的季节窗口
[020:44] 它又受当地
[020:46] 当季的一些流行趋势变化所影响
[020:49] 那么背后的原因的话
[020:50] 其实也是在于说
[020:52] 买家
[020:53] 尤其是消费者在这块
[020:54] 它其实也是在这种特定的时间节点的时候
[020:57] 它才会对这类型的产品
[020:59] 有一些比较强烈的和明确的穿着的需求
[021:03] 并且它的需求是处于一个非常集中
[021:06] 而且时效性很强的一个阶段
[021:08] 那因此我们可以看一下
[021:09] 这类型的产品的话
[021:10] 我们就可以看到左边
[021:11] 它是处于一个
[021:12] 基本上它的一个趋势
[021:14] 都是处于一个前面两次
[021:16] 一个高峰之后就快速衰退的一个特点
[021:19] 那我们再来看一下右边的这组图
[021:22] 右边的这组图的话
[021:23] 它其实我们去看了一下
[021:25] 在整个季节性的产品下面的话
[021:28] 又出现了第二种类型
[021:29] 那第二种类型的话
[021:30] 它和左边的这样一个类型
[021:32] 它同样是有明显的高峰和低谷
[021:36] 但是我们会发现
[021:38] 这类型的产品
[021:39] 它往往它的高峰会出现在第二个销售旺季
[021:41] 那像比如说Pant
[021:43] 或是Costume Outfit
[021:45] 就是角色扮演服的这种
[021:46] 为产品为代表
[021:48] 我们会发现
[021:49] 它的整个生命周期期间
[021:50] 它会经历多个销售高峰
[021:52] 那么在这个多个销售高峰当中的话
[021:54] 它也有明显的高峰低谷
[021:56] 但是它背后的驱动因素
[021:58] 其实是跟左边的这张图
[022:00] 是完全不一样的
[022:02] 那么右边的这张图的话
[022:03] 它的一个驱动因素到底是什么呢
[022:06] 我们再回过头去看这些产品本身的时候
[022:08] 我们会发现
[022:09] 这类型的产品
[022:10] 它大多数呢
[022:11] 主要是以一些经典不易过时的基础款为主
[022:14] 那因此这类型的产品
[022:16] 它本身对潮流的敏感度是比较低的
[022:19] 但是它依然会出现高峰和低谷的原因呢
[022:22] 主要是在于这类型的产品
[022:24] 它是属于周期性的产品
[022:26] 那这种周期性的话
[022:27] 它可能是受一些节庆的影响
[022:29] 也或者是说它受一些
[022:31] 本身这个产品是属于一个
[022:34] 在某一段时间它需要集中去购买
[022:36] 那么这种产品的话
[022:38] 它还会被什么影响的
[022:40] 主要还会被促销影响
[022:41] 因为它本身是属于基础款的
[022:43] 那因此的话
[022:44] 大多数它的销售高峰呢
[022:46] 会与一些促销的节点去进行高度相关
[022:49] 并且这类型的产品
[022:51] 一旦消费者去购买之后
[022:53] 他认为这个产品
[022:54] 它实际体感
[022:55] 觉得还不错
[022:57] 我觉得这家店的东西
[022:59] 我是值得信任的
[023:00] 那么后续的话
[023:01] 它会在下一个周期来临的时候呢
[023:03] 去产生一些复购的行为
[023:05] 那因此我们会发现
[023:06] 虽然在第一个周期
[023:08] 它不是最高的
[023:09] 但是它会随着时间的更迭
[023:12] 那么在后面产生一次和第二次的这样一个销售高峰
[023:17] 所以我们可以看一下
[023:18] 在整个季节性的产品下面的话
[023:20] 依然分为了两种类型
[023:22] 那么这两种类型的区分的背后呢
[023:25] 是发现说本身是由于它驱动销售峰值的根本原因不同导致的
[023:30] 那掌握了这些根本原因的话
[023:32] 这对于我们的卖家而言
[023:34] 尤其是去做这两类型产品的运营的卖家而言
[023:39] 我想问一下阿淼老师
[023:40] 它意味着什么呢
[023:42] 在您看来
[023:43] 不好意思
[023:55] 刚才回了个消息
[023:56] 没事
[023:58] 对因为刚才我跟Map朋友有分享
[024:00] 关于整个就是季节性的产品
[024:03] 它下面主要是分为两个类型
[024:05] 然后也跟大家去聊了一下关于这两个类型
[024:07] 它其实在我们后台通过亚马逊的数据呢
[024:10] 能看到它是由两种趋势图的对比
[024:13] 那这两种趋势图的对比的话
[024:15] 其实主要还是背后是由于消费者的行为差异
[024:17] 和购买的需求所导致的
[024:19] 但我就在想说一个问题点
[024:21] 就在于说我们知道了这个背后的消费者的差异点之后的话
[024:25] 那对于服饰的卖家
[024:27] 尤其是做这种产品的服饰的卖家而言
[024:30] 那么它到底可以帮到他们什么
[024:32] 或者是说叫做可以这个部分的话
[024:34] 那么对于他们来讲
