[000:00] 好 我看现在逐步有卖家朋友们已经进入到直播间了
[000:20] 那首先第一个也是非常感谢大家在今天下午的时间能够抽出两个小时
[003:28] 跟大家一起来去展开短生命周期和积极性产品广告的一个实战技巧
[003:33] 所以呢
[003:34] 我们就回到今天的这堂课当中啊
[003:35] 那我们来看一下今天的这堂课当中呢
[003:37] 我们要跟大家讲到的呢
[003:39] 主要是有三个方向
[003:40] 第一个的话
[003:41] 我们会带着大家呢
[003:42] 一起去理解服饰品类
[003:44] 长生命周期的产品
[003:45] 它到底分为哪些类型
[003:47] 以及这些不同的类型
[003:49] 它该怎么去进行一个归纳归总
[003:51] 那么这个部分的话
[003:52] 我们会引引入到消费者的这样一个啊
[003:55] 一些当地的消费者的市场洞察上
[003:57] 那第二个部分的话
[003:59] 会带着大家呢
[004:00] 通过拆解在美国服饰品类
[004:03] 这个尤其是长生命周期下
[004:05] 我们用四个真实的案例来去学习头部A-SEN
[004:09] 它在新品期成长期成熟期的广告表现
[004:11] 去解密这些头部A-SEN
[004:14] 是怎么去进行高校投放广告的
[004:16] 那在这个部分的话
[004:17] 大鹏老师也会给大家
[004:18] 会给到大家非常多的实操的建议
[004:21] 和来自于实战的一些经验
[004:25] 那第三个部分很重要的
[004:27] 除了广告做得好之外的话
[004:28] 广告本身我们要去高校投放之外的话
[004:30] 其实还有一个很重要的
[004:31] 能够去帮助我们去进行广告提效的呢
[004:34] 就是运营上了
[004:35] 那在运营上
[004:36] 长生命周期的产品在服饰品类下
[004:38] 我们应该有哪些需要去注意的
[004:41] 运营的实战的经验
[004:42] 以及注意的这样一些技巧
[004:44] 那么这个部分的话
[004:45] 会在第三个部分给大家去分别展开
[004:48] 好
[004:48] 那我们就回到今天的课程当中
[004:51] 在今天的课程开始之前呢
[004:53] 考虑到很多卖家朋友们
[004:55] 可能也是第一次来听我们这个系列课程
[004:58] 所以的话
[004:58] 让我先简单的花一点点的时间
[005:00] 来做一下上节课程的一个回顾
[005:03] 那这个回顾的话
[005:04] 也是可以相信的
[005:05] 可以通过这个回顾帮助卖家朋友们
[005:07] 更好的去把上节课程的内容
[005:09] 和本堂课程的内容呢
[005:11] 去进行一个有机的联系
[005:12] 好
[005:13] 那么再来看看
[005:14] 在上节课当中的话
[005:15] 我们带着大家呢
[005:16] 去通过服饰的这个销售
[005:18] 广告效率的这个数据对比
[005:21] 以及去看到了新卖家新A4
[005:23] 在亚马逊上年对年的一个增长趋势
[005:26] 以及通过细分数细分市场的数据分层
[005:29] 还有去看到了特有的季节性的波动的规律上
[005:32] 那我们去通过这四个维度呢
[005:34] 就去读懂了整个亚马逊服饰品类的一个大盘与竞争格局
[005:39] 那么在这个竞争格局下的话
[005:41] 我们也总结出来的
[005:43] 在亚马逊上去做美国服饰品类的卖家
[005:47] 目前呢
[005:48] 主要是面临着这四大挑战
[005:50] 第一个在存量博弈下
[005:52] 广告的成本是在不断的攀升的
[005:54] 也就意味着说
[005:55] 大家的利润是在不断的被压缩
[005:56] 那第二个
[005:57] 由于服饰品类
[005:58] 它本身是有具有节节性波动的
[006:00] 这样一个特有规律的
[006:01] 所以这个的话其实带来了比较低的容错率
[006:04] 那样大家在备货和资金的压力上的话
[006:07] 都是比较集中的
[006:08] 第三个
[006:09] 在服饰品类
[006:09] 尤其是在美国站
[006:11] 通过上节课的数据呢
[006:12] 我们看到了新卖家和新A森的一个增长情况呢
[006:15] 发现了头部A森是比较集中的
[006:17] 那么新卖家的突围的话
[006:19] 相对来说是比较难的
[006:20] 那第四个很重要的就是在细分赛道上
[006:23] 我们的这个流量
[006:24] 由于现在的流量精准度
[006:26] 大家都在提到流量精准度
[006:28] 是在不断下降的
[006:29] 那么这个的话其实就回到了说
[006:31] 对于我们自己的一个赛道的识别
[006:33] 以及对于细分赛道的精确选择之后
[006:36] 如何为自己的产品贴上非常清晰的标签
[006:40] 来帮助流量的一个精准度的提升
[006:43] 所以这个的话是我们在上节课呢
[006:45] 给大家讲到的
[006:46] 通过整个大的一个大盘和具体的一个细分数据呢
[006:49] 来看到了美国服饰战品类的卖家
[006:52] 遇到的四大核心挑战
[006:54] 那么在这四大核心挑战当中的话
[006:57] 我们该怎么去面对它
[006:59] 怎么去破局呢
[007:00] 在这里的话我们相信大家呢
[007:02] 用的不应该是去投更多的广告预算
[007:05] 而是在现有的这个情况下
[007:07] 我们需要的是一个更清晰的决策框架
[007:09] 所以说我们给大家引入到了
[007:11] A-SEN生命周期的概念
[007:12] 那这个A-SEN生命周期的话
[007:14] 我们也跟大家讲到了
[007:15] 它主要是可以通过两个维度呢
[007:17] 帮卖家去理清思路找准方向
[007:20] 第一个呢
[007:20] 通过匹配自己的能力象限
[007:23] 来去选对自己适合去做的产品
[007:26] 因为我们知道不同生命周期类型的产品的话
[007:30] 它对于卖家的能力要求是不同的
[007:32] 那第二个点很重要的就是
[007:34] 基于A-SEN生命周期
[007:36] 来帮我们去做这个整个广告的导航仪
[007:39] 从而去制定一些分阶段的广告打法
[007:43] 让我们的广告呢
[007:44] 可以不用再忙打
[007:45] 所以这个的话
[007:46] 是我们在上几课当中的话
[007:47] 给到大家去介绍到的
[007:49] 关于A-SEN的生命周期
[007:50] 我们讲到的两个重要的方向
[007:53] 来帮助大家去进行破局
[007:55] 那第一个是我们看到了这里
[007:56] 对于不同生命周期的类型
[007:58] 我们的能力要求是不同的
[008:00] 第二个
[008:00] 对于这样一个广告的投放上
[008:04] A-SEN生命周期
[008:05] 可以给到我们非常多的
[008:06] 这样一些具体的指引
[008:07] 那这些指引的话
[008:08] 就是可以帮助到卖家呢
[008:10] 去找到一个最合适的一个投放方式
[008:14] 所以这个的话
[008:15] 是我们在上几课当中
[008:16] 给到大家去讲到的内容
[008:17] 那么在这节课当中的话
[008:19] 回到这节课
[008:20] 我们在这节课当中的话
[008:21] 就会围绕着
[008:22] 长生命周期的类型的产品呢
[008:24] 来去深度的拆解
[008:25] 具体的广告打法和运营经验
[008:28] 好
[008:28] 那上节课的话
[008:29] 的一个回顾大概是这样
[008:31] 然后我们接下来的话
[008:32] 我们就话不多说
[008:33] 进入到今天的分享当中
[008:34] 那今天的分享呢
[008:35] 刚才有讲到
[008:36] 有三个部分要跟大家去聊到的
[008:38] 第一个呢
[008:39] 会跟大家聊一聊
[008:40] 从生命周期来去看消费者的需求
[008:42] 那么从需求来去找到
[008:44] 我们不同的产品
[008:46] 它的一个广告重点和锚点
[008:48] 那么第二个很重要的点呢
[008:49] 是我们看看
[008:50] 如何通过
[008:51] A-SEN的生命周期
[008:52] 来帮助我们把一个A-SEN
[008:54] 做成一个长期稳定的现金流
[008:56] 在这里的话
[008:57] 会给大家分享
[008:58] 以四个案例呢
[008:59] 去展开
[009:00] 来去分享具体广告的投放技巧
[009:02] 那第三个部分
[009:03] 也是刚才讲到的
[009:04] 我们想要广告的提效
[009:06] 想广告做的更好
[009:07] 那么我们希望能够有更多的更好的销售的话
[009:10] 那么还有很重要的就是我们需要有一些关注到的
[009:14] 长生命周期产品特有属性下的话
[009:16] 我们有一些特就是大家需要重视一些实战的一些方向的技巧
[009:21] 所以这个的话是我们今天要跟大家去分享的内容
[009:23] 好
[009:24] 那我们就开始今天的一个正式分享
[009:27] 那在开始具体这个广告打法讲解之前呢
[009:31] 我们还是先来回顾一下
[009:32] 简单回顾一下
[009:33] 生命周期的概念和定义
[009:35] 因为这个的话是接下来我们在所有的广告
[009:37] 这个打法的一个展开讲解当中的话
[009:40] 都会涉及到的很关键的这样一个概念
[009:43] 那首先第一个我们可以看一下左边的这张图
[009:45] 那这张图的话
[009:46] 其实是我们找到的一个关于在美国服饰品类的
[009:50] 大的这个服饰品类的
[009:51] 一个整体的所有的A-SEN
[009:53] 它聚合归统之后呢
[009:54] 我们可以看到它的生命趋势呢
[009:57] 是这样一个生命趋势
[009:58] 我们的重座标是销售额
[010:00] 横走
[010:00] 横周标
[010:01] 就是我们的这个横线的横周标呢
[010:03] 是销售时长
[010:05] 那么在这里的话
[010:06] 我们可以看到一般来讲
[010:08] 我们会把新品期定义为产品上架后的0到3个月
[010:12] 那这个阶段的话是整个A-SEN
[010:16] 它能启动最关键的时期
[010:18] 但是在这个关键的时期下的话
[010:20] 我主要的特点呢
[010:21] 也是发现说
[010:22] 它是比较缺少流量以及曝光
[010:24] 还有缺少市场认知的
[010:25] 那么在三个月之后呢
[010:27] 我们可以正式的开始去看到说
[010:30] 它会有一个逐步上升的一个趋势
[010:32] 那么整个从它三个月开始
[010:34] 到它销售额达到峰值的这个阶段
[010:37] 我们叫做成长期
[010:39] 那这个期间的主要特点呢
[010:42] 是销售和评论量的话
[010:44] 是在足步增加
[010:45] 流量的话也开始逐渐变多
[010:47] 那么成熟期的定义是什么呢
[010:50] 成熟期的定义呢
[010:51] 就是从成长期
[010:52] 成长期我们刚刚讲的
[010:53] 它是到达销售峰值对吧
[010:55] 那么成熟期呢
[010:56] 就是从峰值开始计算
[010:58] 那么从它从峰值一直跌到
[011:01] 峰值的50%以下
[011:03] 我们视为在这个产品呢
[011:06] 它的整个成熟期
[011:07] 当跌到了峰值50%以下呢
[011:11] 也就意味着说
[011:12] 这个产品进入到了衰退期
[011:13] 所以这个呢
[011:14] 是我们对于Acer生命周期当中的
[011:17] 三个重要阶段的一个定义
[011:20] 好
[011:21] 那我们在了解清晰的定义之后呢
[011:23] 我们就来看看上节课跟大家讲到的
[011:25] 美国占的这个服饰品类下
[011:28] 我们主要有三大核心的生命周期类型
[011:31] 长短季节性的
[011:33] 那今天的话
[011:34] 我们主要是围绕着长生命周期来展开
[011:37] 首先我们先来去overall的看一下
[011:39] 就大概我们一起来同蓝的看一下
[011:41] 整个长生命周期它的趋势图呢
[011:43] 其实我们在这里可以看到
[011:45] 它在即使到了36个月之后
[011:47] 它依然是在这个销售峰值以上
[011:50] 所以说我们可以看到第一销售期的话
[011:53] 一般是大于三年以上
[011:55] 并且在36个月之后呢
[011:57] 它依然处于峰值的50%以上
[012:00] 那这类型的产品的话
[012:02] 我们统一的话都会把它放到长生命周期当中
[012:05] 那么这个长生命周期的话
[012:07] 它有一个特点呢
[012:08] 就是全年需求相对是比较稳定的
[012:10] 比较少的会存在一些季节性的波动变化
[012:14] 那这个部分的产品的话
[012:15] 它受季节性的这样一个影响
[012:18] 也是相对比较弱的
[012:20] 所以整个来讲的话
[012:21] 长生命周期的话
[012:22] 是有这样一些特征
[012:23] 但是在这个特征下的话
[012:26] 我们也看到了长生命周期的话
[012:28] 在美国占服饰品类的长生命周期的话
[012:31] 它的产品包含了非常的多
[012:33] 包括像连衣裙啊
[012:35] 连衣紧身衣体超服啊
[012:37] 然后像美国的这样一个小西装
[012:40] 太阳镜领带配饰等等的
[012:42] 那这里的话
[012:43] 其实我就有一个非常好奇的一个问题啊
[012:46] 也非常想问问我们现在在听我们讲课的卖家
[012:51] 同时的话
[012:52] 也把这个问题抛回给到大鹏老师
[012:54] 我想说这些产品
[012:56] 它都是属于美国服饰品类下
[012:59] 长生命周期的产品
[013:00] 但是这些产品看起来又非常的不同
[013:03] 那么这些产品
[013:04] 它到底它的广告和运营重点都是一样的吗
[013:07] 那那样朋友们的话
[013:12] 也可以把你们的就是思考呢
[013:14] 可以打在聊天框
[013:16] 这个问题的话
[013:17] 我想抛回给大鹏老师
[013:18] 让大鹏老师来分享一下
[013:20] 就是从他的角度来看
[013:21] 这么多的产品啊
[013:22] 这么多的产品
[013:23] 我们看到它的生命周期都属于长生命周期的
[013:25] 那它到底它的广告和运营重点是一样的吗
[013:28] 那看看听听听大鹏老师的一些想法
[013:31] 好的
[013:32] 那我来说一下我自己的一个看法
[013:35] 其实呢
[013:36] 参加朋友们应该也看到
[013:37] 就是虽然都处于长生命周期
[013:39] 但是这些产品的话呢
[013:41] 其实本质上面还会有些区别
[013:43] 因为从第一个它的一个客单架这里呢
[013:46] 肯定是会有所差异的
[013:48] 因为客单架呢
[013:49] 背后也面对的不同的一些收入顾客人群
[013:52] 这是第一点
[013:53] 因为不同的顾客人群呢
[013:54] 他在买不同的一些产品的时候呢
[013:56] 有些可能它是为了去解决自己的一些实际需求
[014:00] 来去角度出发来去购买的
[014:02] 那或者说有些产品的话呢
[014:04] 比如说像这种太阳眼镜
[014:06] 它可能会去为了满足它的一个即时需求
[014:10] 就是比如说它可能会习惯
[014:12] 比如说是习惯这种福补款的
[014:14] 或者是用时尚款的
[014:15] 那么他们可能会追求这种产品的外观更加多一些
[014:19] 但是我们比如说像在这个案例里面所看到的
[014:22] 比如说西服呀这种类型的产品
[014:24] 其实顾客买这种产品的时候呢
[014:27] 大多数情况都是会去解决一些
[014:30] 比如说我要去参加一些会议
[014:32] 我可能会去买一个自己适配的一个西服
[014:35] 所以不同的产品之间的话
[014:37] 广告的一个侧重点包括广告的锚点
[014:39] 肯定也会有所区别
[014:41] 这是我的一个看法
[014:44] 好的
[014:45] 那么我觉得我也很认同大鹏老师的这样一个观点
[014:48] 在这里的话我们也把四个类型的产品呢
[014:51] 做一个就是这展示了四个真实的爱情
[014:53] 大家可以看一下
[014:54] 在左边的话是西服和称群打底群的这样一个趋势图
[014:59] 右边的话是sung glasses和neck type
[015:02] 也就是太阳眼镜和领带
[015:04] 那么这四个趋势图我们会发现啊
[015:07] 它其实长得非常的近似
[015:09] 那么在这个非常近似的趋势图当中的话
[015:12] 我们也发现了它会存在一个共有的规律呢
[015:15] 就是大家可以看到它第一个都是在第22个月
[015:19] 在第22个月或在第18个月的时候逐渐开始到达它的销售高峰的
[015:24] 整并且在到达销售高峰之前的话
[015:27] 它整个销售是在稳定的爬坡的
[015:29] 当它达到销售高峰之后的话
[015:31] 整个是一个虽然有波动
[015:33] 但基本上是处于一个非常稳定的状态
[015:36] 并且的话在36个月之后呢
[015:37] 它依然还处于这个销售峰值的50%以上
[015:41] 所以这部分的产品的话
[015:42] 我们看到它们都是从趋势图上
[015:44] 我们看到它都是一样的
[015:46] 但是背后的消费者的需求确实是不同的
[015:50] 那在这里的话我们也想问大鹏老师了
[015:52] 那么作为服饰品类的卖家来讲
[015:54] 我们有这么多的产品
[015:56] 它都是属于长生命周期
[015:58] 我们该怎么去找它的这些找一些共性
[016:01] 来帮助卖家去进行适当的区分
[016:05] 或者是说对于有一些可能我们今天只展示了4个真实案例
[016:09] 对吧
[016:10] 那么还有一些其他的非常多的长生命周期的服饰品类的产品
[016:13] 我们今天是没有聊到的
[016:15] 那我们可以怎么样可以帮助卖家去通过找共性的方式
[016:19] 来帮他们去了解到
[016:22] 那么我自己所运的产品呢
[016:24] 可能跟今天讲到的是比较类同的
[016:25] 那我可以去参考接下来的内容
[016:27] 那大鹏老师从你的角度来看的话
[016:30] 那么是不是我们可以通过消费者的购买行为和需求差异
[016:34] 来去把这样的一些产品去进行分类呢
[016:37] 对的这个肯定是我们首先的话呢
[016:39] 再去给我们比如说整个体验店里面的话
[016:42] 众多的一些细分款
[016:44] 我们做个分类
[016:45] 其实从产品的一个
[016:47] 先从我们的受众角度考虑出发
[016:50] 比如说我们后续的话呢
[016:51] 因为体验店里面可能大家卖家们会常布局一些
[016:55] 比如说各种一些细分款
[016:57] 那么细分款和细分款之间的话呢
[016:59] 我们第一个角度可以考虑从受众顾客人群角度来去出发
[017:03] 包括呢顾客的一个年龄段
[017:05] 那么在做完这两种类型的一个划分之后
[017:08] 我们再回归到产品本身上
[017:10] 那么产品本身上面的话
[017:12] 我们其实可以首先呢
[017:13] 从第一个也就是我们所看到的
[017:15] 国能基础款的一个角度去出发
[017:18] 那这种类型的产品的话呢
[017:20] 其实我们也能够看到啊
[017:21] 它是有以下几个大的特点的
[017:24] 那首先我们先要明确一个点
[017:26] 就是顾客呢
[017:27] 他去买这种产品的时候
[017:29] 像刚才呢
[017:30] 纯阳老师给大家提到了
[017:31] 它是为了去解决顾客所遇到的一些问题的
[017:34] 而非追求于某些特殊些潮流
[017:37] 所以顾客的需求
[017:39] 它一般来说是比较稳定的
[017:41] 那么比较符合是这种日常穿搭
[017:45] 那么当然的话呢
[017:46] 款式基本上也比较恒定
[017:48] 你像我们有时候
[017:49] 比如说穿的这种的西服
[017:50] 一般来说的话呢
[017:51] 大多数情况我们可能不坏追求这种
[017:54] 比较标新的一些款式
[017:57] 可能在有些特定的场景下啊
[017:59] 会有一些偶然情况
[018:02] 你比如说这种明星呢
[018:03] 或者歌手他们在去穿这种西服的时候
[018:05] 他们可能会用到这种
[018:06] 比如说非常时尚的
[018:08] 但是大多数顾客买的时候呢
[018:09] 其实款式相对而言的话
[018:11] 比较恒定
[018:12] 不追求潮流
[018:13] 那么我们也能看到
[018:15] 那顾客购买这种产品的时候呢
[018:17] 基本上它是比较追求这种产品的
[018:19] 一个长期价值的
[018:20] 并且呢
[018:22] 也会反复确认过后才会去下单
[018:26] 这里面的话呢
[018:27] 因为有些顾客
[018:28] 他们在去购买这种产品的时候
[018:30] 比如说
[018:31] 购买一套西服
[018:32] 他可能会去确认一下
[018:34] 我自己的话
[018:35] 比如说体型是偏重的偏胖的
[018:37] 那么到底这套西服的话
[018:39] 我所看到这个链接呢
[018:40] 它是否符合我的一个尺码
[018:43] 那如果有些顾客的话
[018:44] 整体比如说
[018:45] 他这块的一个个子偏高或者偏瘦
[018:48] 那么他会去反复先去确认一下
[018:51] 这个产品能否完美的适配于我自己
[018:54] 并且能够解决我的一个实际的一个使用场景
[018:58] 那么这种是功能基础型
[019:00] 它的一个典型特征
[019:02] 那么我们再来去看一下右侧
[019:04] 这块功能配置型的产品
[019:06] 那功能配置型产品的话
[019:08] 其实顾客在去买这种产品的时候
[019:10] 他往往并不是单纯为了解决他的一个基础需求
[019:15] 还会有他自己的一个主观感受容在里面
[019:19] 他会追求一下
[019:20] 比如说时尚
[019:21] 你像有些顾客的话呢
[019:22] 可能比如说在我们看到的案例里面
[019:24] 太阳眼镜
[019:25] 他喜欢比如说这种负股款的
[019:28] 那么他再去挑选太阳眼镜的时候
[019:30] 第一个主要的目的可能是为了去解决他
[019:33] 比如说在户外呀
[019:34] 野营露营
[019:35] 或者说去下灾了派对的时候
[019:38] 能够遮阳
[019:39] 这是他第一个基础的需求
[019:41] 那么当然他解决的基础需求
[019:43] 同时呢
[019:45] 他也会在意一下自己的主观感受
[019:47] 那么他如果喜欢是复古的
[019:49] 比如说整个的话
[019:50] 从他的一个消费的一个整个的一些
[019:53] 链接里面来看的话呢
[019:55] 他可能之前的话买的一些家装呀
[019:57] 风格都属于这种复古的
[019:59] 那么他可能在去购买眼镜的时候呢
[020:01] 他也可能会去
[020:02] 进可能挑选这种复古款的来去进行购买
[020:05] 但如果他是比较这种时尚的
[020:07] 比如说偏上于年轻化的一些群体
[020:09] 那么他们在去购物的时候呢
[020:11] 可能会更加偏上于这种时尚感的
[020:13] 比如说这种
[020:15] 就是
[020:17] 像有点像明星啊
[020:18] 类似这种同款的啊
[020:19] 这种时尚款的话
[020:20] 这种眼镜呢
[020:21] 来去做一个购买
[020:22] 那么同样的话
[020:23] 领带也是这个道理
[020:24] 就是
[020:25] 顾客在去买领带的时候呢
[020:27] 
[020:27] 他主要的一个
[020:29] 其实是为了去解决他
[020:31] 比如说正式场合
[020:33] 完了搭配上领带的话
[020:34] 显得更加正式鞋制的第一点
[020:35] 那么第二点呢
[020:36] 他也会结合自己的一个
[020:38] 实际的一个主观感受
[020:40] 来去看一下
[020:41] 比如说这颗领带的品质
[020:43] 质感是由什么材质所
[020:45] 就是那个
[020:48] 主要的第二个的话
[020:50] 也会看一下
[020:51] 就是这个领带的话呢
[020:52] 是否符合我
[020:54] 比如说自己现阶段
[020:55] 我所追求这个整个这个穿搭风格
[020:57] 那么这是这两种类型产品里面
[021:00] 我们可以从他的一个功能和款式
[021:02] 还有呢
[021:03] 本身的产品属性上面
[021:04] 把他们去做一个归类
[021:06] 之后的话也是建议大家呢
[021:07] 可以在围绕着刚才给大家提到的
[021:10] 从顾客的收入人群
[021:12] 还有他们的年龄段
[021:13] 来去把这个产品的话呢
[021:15] 做好归类
[021:16] 因为这两种类型的产品呢
[021:18] 里边也会涉及到不同的
[021:20] 一个运营思路和打法
[021:21] 所以呢
[021:22] 我们先有归类好
[021:23] 清楚产品类型之后
[021:25] 再围绕他
[021:26] 对应他适合他的一个广告打法
[021:28] 这样子我觉得才是对症下药
[021:30] 好的
[021:31] 非常感谢大鹏老师
[021:32] 这样一个分享
[021:33] 我觉得这个分享的话
[021:34] 对于我们来讲
[021:35] 就是非常关键的点
[021:36] 就在于说
[021:37] 第一我们很清楚的知道
[021:38] 虽然服饰品类下长生命周期
[021:40] 有这么多的产品
[021:41] 但是其实的话
[021:42] 我们可以把他们
[021:43] 以他以消费者的需求
[021:45] 来去进行一个分类
[021:47] 那通过这个分类的话
[021:48] 即使我们今天没有讲到的产品
[021:50] 相信做这个分类相类似
[021:53] 或类同的卖家呢
[021:55] 也能够在这节课当中呢
[021:56] 获得自己想要的一些答案
[021:58] !所以这个我觉得是第一个点
[022:00] 
[022:00] 我也想问大鹏老师
[022:02] 我们找到了这些消费者的需求
[022:03] 差异之后
[022:04] 那他对于卖家而言
[022:06] 尤其是在广告和运营上
[022:08] 它又意味着什么呢
[022:09] 我觉得不同类型里面的话
[022:12] 我们再往下去做一个细分的话
[022:14] 其实在广告里面
[022:15] 要先去建立一个关键性的锚点
[022:18] 比如说我们刚才的卖家们所看到的
[022:20] 就是如果从工能这种基础型的
[022:24] 类型的产品的服饰品类里面
[022:26] 
[022:26] 我们广告里面关键性的话
[022:28] 要建立一个锚点
[022:30] 就是建立信任
[022:31] 因为这种类型产品的话
[022:32] 刚才我们也提到了
[022:33] 顾客再去购买这种产品的时候
[022:35] 他会经常问到这几个问题
[022:38] 第一个
[022:39] 到底我买这个锡幅呢
[022:40] 到底是不是合我的一个
[022:42] 比如说体型
[022:43] 并且这个锡幅的话
[022:45] 它质量整体好不好
[022:46] 还有呢
[022:47] 到底这个价格
[022:49] 符不符合它的一个品质
[022:52] 因为也看到了
[022:53] 就是在其实呢
[022:54] 我们亚马逊后台的一个商机摊扣器里面
[022:57] 基于这个品类里面
[022:59] 也是有统计出来
[023:01] 顾客的话呢
[023:02] 六个月的一个评价
[023:04] 那么从评价里面的话呢
[023:05] 我们能看到
[023:06] 顾客主要购买这种类型产品的焦虑点
[023:09] 第一个呢
[023:10] 就是尺码焦虑
[023:11] 他可能会去犹豫
[023:13] 比如说我看到了一张尺码表
[023:15] 但是到底这个尺码表的话
[023:17] 它是否能否真的是配于我
[023:20] 因为我们都知道
[023:21] 福士平衡的话呢
[023:22] 在这个亚马逊平台上来说的话
[023:25] 它普遍比普通的一些产品的话
[023:28] 通货率要高
[023:29] 其实主要的原因也就是顾客买回去之后
[023:31] 他可能持满的话
[023:32] 确实有些不适配
[023:33] 所以这是顾客他们购买钱
[023:35] 最大的一个焦虑之一
[023:37] 那么再往下来就看呢
[023:38] 第二个就是顾客
[023:40] 比较关心这种产品的一个真实的一个材质
[023:43] 因为有时候的话呢
[023:44] 确实不同的一些产品的一些面料
[023:47] 因为它背后的收入顾客群体是不一样的
[023:50] 有些顾客的话
[023:51] 他可能是比如说上班的伙伴上班族
[023:54] 他可能会去追求的面料不是过于苛刻
[023:56] 但是像一些拥有这种高消费能力的顾客的话
[024:01] 他们对于这种西服的一个材质和面料的话
[024:04] 他们就会比较看重
[024:05] 所以不从那背后收入顾客里面的话呢
[024:08] 我们也会发现他们对于这个质量
[024:11] 到底跟我们卖家链接里面所描述的这个质量的话
[024:15] 具体相相符合
[024:17] 这也是顾客他们所在购买前的话呢
[024:21] 一个疑虑点
[024:22] 第三个呢就是物超所值
[024:24] 物超所值的话也能看到
[024:26] 顾客的话他们也是比较在意这种产品的性价比的
[024:29] 那么这里面的话需要给大家提一个点
[024:32] 性价比的话
[024:33] 它跟产品的实际的一个售价的话
[024:36] 是两个概念
[024:37] 我们千万不要把这两个点的话弄混淆
[024:39] 我们也有些卖家可能会这样的认为
[024:43] 就是我的一个产品的话呢
[024:45] 一定卖的低价就一定会有非常高的份额
[024:49] 当然这个的话不是一定的
[024:51] 因为对应的不同的一个产品
[024:54] 刚才也说到过
[024:55] 它的一个材质之里面的话
[024:57] 都会有它背后的收入人群
[024:59] 那么如果我们能够在我们这个价格段内
[025:03] 注意说的是价格段内
[025:05] 找到一个比如说适合我们现在自己的自己的
[025:08] 自己的自己一个定价
[025:10] 让顾客呢感觉到这种产品
[025:12] 是有比较不错的性价比的
[025:14] 那自然而然我们后续的话
[025:15] 链接再去做推广的时候呢
[025:17] 销量包括呢订单量提升也会比较高
[025:21] 因为这里面的话性价比
[025:22] 只是说我在一个定价区间里面
[025:25] 我的产品对比同类型的产品
[025:28] 或者对比同面料的这种类型的产品呢
[025:31] 我的更加有优势
