Family Brief,Content,Metrics,Ad Products,Marketplaces
prime_day,"Advertisers in NA3 saw an increase of 25% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and LCS and includes ASINs which are High GMS Global Star and gl in Consumables.)",Units Sold,Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in EU9 saw an increase of 17% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner brand ready advertisers who spent at least $5 and gl in HPC Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU10 saw a ROAS of 2.51 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are SP ready and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU10 saw an increase of 26% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are SP ready and gl in HPC Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers saw an increase of 18% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, CN based and includes ASINs which are Global Star and gl in HPC Consumables.)",DPV (Detail Page Views),Sponsored Ads,All
prime_day,"Advertisers in EU10 saw an increase of 25% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and LCS and gl in Beauty Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw an increase of 35% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and gl in Grocery Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in EU10 saw an increase of 24% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and includes ASINs which are High GMS and gl in Beauty Consumables.)",Sales,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw an increase of 27% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and includes ASINs which are High GMS and gl in Beauty Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in France saw a ROAS of 2.34 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, FR. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and are Vendor and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,FR
prime_day,"Advertisers in APAC saw an increase of 42% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, JP, AU, SG. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,"APAC, AU, JP, SG"
prime_day,"Advertisers in EU10 saw a ROAS of 2.96 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5, Domestic based and gl in Pet Products Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU5 saw an increase of 38% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5, Domestic based and SSO and gl in Consumables.)",Units Sold,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in the US saw a ROAS of 1.93 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,US
prime_day,"Advertisers saw an increase of 70% in detail page views using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Vendor and GGS and gl in Consumables.)",DPV (Detail Page Views),Sponsored Products,All
prime_day,"Advertisers in EU9 saw an increase of 76% in detail page views using Sponsored Products during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and gl in HPC Consumables.)",DPV (Detail Page Views),Sponsored Products,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in NA2 saw an increase of 27% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, CN based and LCS and gl in Consumables.)",Units Sold,Sponsored Ads,"CA, NA, US"
prime_day,"Advertisers in EU5 saw a ROAS of 2.42 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and LCS and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in Italy saw an increase of 57% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, IT. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and LCS and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,IT
prime_day,"Advertisers in APAC saw a ROAS of 2.6 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, JP, AU, SG. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and gl in Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"APAC, AU, JP, SG"
prime_day,"Advertisers in EU5 saw an increase of 29% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5, CN based and gl in Beauty Consumables.)",DPV (Detail Page Views),Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers saw a ROAS of 3.46 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, ROA based and includes ASINs which are High GMS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,All
prime_day,"Advertisers in EU10 saw an increase of 72% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5, Domestic based and gl in Pet Products Consumables.)",DPV (Detail Page Views),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU9 saw a ROAS of 2.68 when promoting their products using Sponsored Products during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and gl in HPC Consumables.)",ROAS (Return on Ad Spend),Sponsored Products,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in NA3 saw an increase of 13% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA, MX. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, ROW based and SSO and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,"CA, MX, NA, US"
prime_day,"Advertisers in NA2 saw an increase of 26% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, US, CA. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, ROW based and GGS and gl in Consumables.)",Sales,Sponsored Ads,"CA, NA, US"
prime_day,"Advertisers in EU5 saw a ROAS of 2.96 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and includes ASINs which are SP ready and gl in Pet Products Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in EU5 saw an increase of 18% in sales using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and gl in Grocery Consumables.)",Sales,Sponsored Ads,"DE, ES, EU, FR, IT, UK"
prime_day,"Advertisers in EU9 saw an increase of 40% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and includes ASINs which are SP ready and gl in Grocery Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in the UK saw an increase of 32% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and gl in Beauty Consumables.)",Units Sold,Sponsored Ads,UK
prime_day,"Advertisers in APAC saw an increase of 61% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, JP, AU, SG. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and includes ASINs which are SP ready and gl in Grocery Consumables.)",Units Sold,Sponsored Ads,"APAC, AU, JP, SG"
prime_day,"Advertisers saw a ROAS of 2.43 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes brand ready advertisers who spent at least $5 and GGS and gl in Grocery Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,All
prime_day,"Advertisers in EU10 saw a ROAS of 3.13 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Vendor and gl in Luxury_Beauty Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers saw an increase of 103% in detail page views using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and GGS and gl in Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Products",All
prime_day,"Advertisers saw an increase of 56% in sales using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and includes ASINs which are SP ready High GMS and gl in Consumables.)",Sales,"Display Ads, Sponsored Products",All
prime_day,"Advertisers saw an increase of 27% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and GGS and includes ASINs which are Global Star and gl in Baby Consumables.)",DPV (Detail Page Views),Sponsored Ads,All
prime_day,"Advertisers in EU10 saw an increase of 31% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5, Domestic based and GGS and gl in Baby Consumables.)",Units Sold,Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in EU10 saw an increase of 68% in detail page views using Sponsored Products and Sponsored Brands during Prime Day, when compared to average category growth. (Amazon internal data, UK, DE, FR, IT, ES, NL, TR, BE, SE, PL. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes brand owner advertisers who spent at least $5 and SSO and gl in Consumables.)",DPV (Detail Page Views),"Sponsored Brands, Sponsored Products","BE, DE, ES, EU, FR, IT, NL, PL, SE, TR, UK"
prime_day,"Advertisers in Australia saw an increase of 122% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, AU. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Vendor and gl in Consumables.)",DPV (Detail Page Views),Sponsored Ads,AU
prime_day,"Advertisers saw an increase of 120% in detail page views using Sponsored Products and Display ads during Prime Day, when compared to average category growth. (Amazon internal data, AE, AU, BE, BR, CA, DE, EG, ES, FR, IT, JP, MX, NL, PL, SA, SE, SG, TR, UK, US. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and gl in Beauty Consumables.)",DPV (Detail Page Views),"Display Ads, Sponsored Products",All
prime_day,"Advertisers in EU9 saw a ROAS of 3.28 when promoting their products using sponsored ads during Prime Day. (Amazon internal data, UK, DE, FR, IT, ES, NL, BE, SE, PL. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller, CN based and GGS and gl in Consumables.)",ROAS (Return on Ad Spend),Sponsored Ads,"BE, DE, ES, EU, FR, IT, NL, PL, SE, UK"
prime_day,"Advertisers in Canada saw an increase of 69% in units sold using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, CA. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and are Seller and GGS and gl in Consumables.)",Units Sold,Sponsored Ads,CA
prime_day,"Advertisers in NA2 saw a ROAS of 2.75 when promoting their products using Sponsored Brands during Prime Day. (Amazon internal data, US, CA. ROAS is measured between 07/06/25 and 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and gl in Grocery Consumables.)",ROAS (Return on Ad Spend),Sponsored Brands,"CA, NA, US"
prime_day,"Advertisers in the UK saw an increase of 39% in detail page views using sponsored ads during Prime Day, when compared to average category growth. (Amazon internal data, UK. Baseline period is 06/29/25 - 07/05/25, tentpole period is 07/06/25 - 07/12/25. *Analysis includes advertisers who spent at least $5 and SSO and gl in HPC Consumables.)",DPV (Detail Page Views),Sponsored Ads,UK
